"latitude","longitude","objeto"
10.539737,-62.446743,"Pueblo"
10.566487,-62.580913,"Pueblo"
9.969909,-62.252488,"Pueblo"
9.978722,-62.231949,"Aeropuerto"
10.273167,-61.466581,"Ciudad"
10.17665,-61.690808,"Ciudad"
10.47526,-63.665639,"Atracadero"
10.799419,-71.512365,"Atracadero"
10.795567,-71.513051,"Pueblo"
11.8214,-70.275069,"Pueblo"
11.773171,-70.241603,"Pueblo"
11.985095,-69.82204,"Pueblo"
12.014347,-69.83475,"Pueblo"
11.940995,-69.805723,"Pueblo"
11.936032,-69.812448,"Aeropuerto"
11.943843,-69.802779,"Atracadero"
11.701918,-69.839711,"Pueblo"
11.480809,-69.379565,"Pueblo"
11.488645,-69.357483,"Atracadero"
11.483452,-69.362414,"Pueblo"
10.619871,-66.747069,"Atracadero"
10.625425,-66.739911,"Atracadero"
10.617154,-66.314237,"Pueblo"
10.606489,-66.351455,"Pueblo"
10.618368,-66.381184,"Pueblo"
10.627279,-66.459655,"Pueblo"
10.628145,-66.479218,"Pueblo"
10.629057,-66.513249,"Pueblo"
10.62244,-66.691946,"Pueblo"
10.623242,-66.650581,"Pueblo"
10.628341,-66.569138,"Pueblo"
10.608573,-66.166286,"Pueblo"
10.574735,-66.068603,"Pueblo"
10.575237,-66.067272,"Atracadero"
10.536315,-66.110998,"Atracadero"
10.489632,-66.096458,"Atracadero"
10.207027,-64.666707,"Atracadero"
10.214776,-64.648715,"Puerto"
10.227902,-64.636221,"Atracadero"
10.252995,-64.597409,"Atracadero"
10.238911,-64.580598,"Atracadero"
10.244154,-64.559021,"Puerto"
10.245489,-64.526933,"Atracadero"
10.244607,-64.526055,"Pueblo"
10.531372,-66.111746,"Atracadero"
10.609141,-66.170652,"Atracadero"
10.618804,-66.313784,"Atracadero"
10.623337,-66.714501,"Pueblo"
10.6058,-66.897802,"Pueblo"
10.607085,-66.894359,"Atracadero"
11.947205,-66.676824,"Pueblo"
11.947068,-66.678083,"Atracadero"
11.945611,-66.670791,"Aeropuerto"
10.137275,-64.828496,"Puerto"
11.438079,-68.838898,"Pueblo"
11.447167,-68.884543,"Pueblo"
11.352486,-68.688428,"Pueblo"
11.055754,-68.339846,"Pueblo"
10.942321,-68.264154,"Atracadero"
10.46607,-67.956617,"Pueblo"
11.514878,-69.308868,"Pueblo"
11.488321,-69.109657,"Pueblo"
10.627588,-64.291409,"Salina"
10.596019,-64.277266,"Salina"
10.570214,-64.257781,"Salina"
10.793276,-71.436386,"Salina"
10.807507,-71.431208,"Salina"
10.790073,-71.448193,"Pueblo"
10.792614,-71.466739,"Pueblo"
12.066792,-69.865244,"Salina"
12.105861,-69.8864,"Salina"
10.974454,-63.817278,"Atracadero"
10.981047,-63.810299,"Atracadero"
10.997626,-63.791569,"Atracadero"
11.493705,-69.443667,"Pueblo"
10.857719,-68.278505,"Atracadero"
10.822385,-68.268326,"Zona Hipoxica"
10.503512,-71.576471,"Zona Hipoxica"
10.245132,-64.556239,"Industria Minera"
10.237385,-64.625124,"Refineria"
10.21413,-64.704624,"Atracadero"
10.20273,-64.70374,"Atracadero"
10.11021,-64.740331,"Pueblo"
