"latitude","longitude","InsularCoast","Laguna.d","Puerto.d","Rio.d","Afluente.Seco.d","Petroleo.d","Poblado.d","AbsorCoeffPhytoplank.Q3","AbsorCoeffNonAlgalMat.Median","ChlorophyllaConcent.Mean","PhotosyntheticRadiation.Q3","RemoteReflectance.Mean","SSTemperatureDay.Mean","SSTemperatureNight.Mean","SSTemperatureNight.Kurtosis","SeaLevelPreassure.Skewness","SeaSaltColumnDensity.Mean","SeaSaltColumnDensity.Sd","TwoMAirTemperature.Mean","SeaSaltConcentration.Mean","CarbonDioxide.Q1","CarbonDioxide.Skewness","MethaneNight.Median","MethaneNight.Q3","MethaneDay.Kurtosis","IncidentShortwave.Max","IncommingShortwave.Max","speed.cm.s.min"
10.5,-68.2,"Continental",14.58,8.242,9.912,66.778,2.409,2.514,20.2555,46.1164,520.6774,52.9596,0.152,27.14,23.0675,-1.6875,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,18.3575
10.6,-63.7,"Continental",12.681,49.337,13.289,16.411,54.286,12.241,34.4011,66.4645,583.6354,52.9596,0.0724,23.7462,22.3835,3.1083,-0.3177,29.268,15.9879,2.9869,42.5081,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,21.3837
10.6,-63.8,"Continental",6.849,41.125,20.639,6.671,44.184,6.218,41.5807,77.9775,620.74,52.2373,0.0788,23.1824,22.5121,2.0572,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,23.3888
10.6,-63.8,"Insular",6.849,41.125,20.639,6.671,44.184,6.218,41.5807,77.9775,620.74,52.2373,0.0788,23.1824,22.5121,2.0572,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,23.3888
10.6,-63.9,"Continental",10.082,34.456,26.587,3.822,34.589,3.245,41.2484,77.1923,625.0913,53.3587,0.039,23.6378,22.5618,1.9689,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,42.705
10.6,-63.9,"Insular",10.082,34.456,26.587,3.822,34.589,3.245,41.2484,77.1923,625.0913,53.3587,0.039,23.6378,22.5618,1.9689,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8284,30.0873,2.88,2.879,42.705
10.6,-64,"Continental",19.164,29.067,18.682,2.43,26.071,3.533,19.7925,31.62,376.9494,54.3354,-0.0727,28.7668,22.4778,2.734,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8301,1.0716,2.88,2.879,61.4785
10.6,-64,"Insular",19.164,29.067,18.682,2.43,26.071,3.533,19.7925,31.62,376.9494,54.3354,-0.0727,28.7668,22.4778,2.734,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8301,1.0716,2.88,2.879,61.4785
10.6,-64.1,"Continental",14.09,18.211,15.171,3.182,20.051,3.408,30.3264,55.7067,655.213,55.7113,0.0021,32.57,22.258,4.8748,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,62.3099
10.6,-64.1,"Insular",14.09,18.211,15.171,3.182,20.051,3.408,30.3264,55.7067,655.213,55.7113,0.0021,32.57,22.258,4.8748,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,62.3099
10.6,-64.2,"Continental",16.395,7.572,14.416,4.909,19.064,4.887,26.6397,53.9934,525.1685,55.7113,0.081,24.6718,22.2379,5.1619,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,57.2087
10.6,-64.2,"Insular",16.395,7.572,14.416,4.909,19.064,4.887,26.6397,53.9934,525.1685,55.7113,0.081,24.6718,22.2379,5.1619,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,57.2087
10.6,-64.3,"Insular",24.043,4.686,18.591,13.977,23.746,4.794,15.85,31.62,415.8506,54.3354,0.0799,23.4039,22.642,0.968,0.3592,25.6621,19.3452,2.9821,43.2246,3.974,-1.826,1.8205,1.8253,12.6578,2.88,2.879,20.4341
10.6,-64.3,"Continental",24.043,4.686,18.591,13.977,23.746,4.794,15.85,31.62,415.8506,54.3354,0.0799,23.4039,22.642,0.968,0.3592,25.6621,19.3452,2.9821,43.2246,3.974,-1.826,1.8205,1.8253,12.6578,2.88,2.879,20.4341
10.6,-66.2,"Continental",12.788,81.407,2.752,53.915,14.925,3.806,31.62,63.1,250.262,56.8875,0.2712,24.1744,21.951,24.3822,0.2406,33.9677,20.4792,2.987,58.084,3.975,-3.8941,1.8186,1.8271,-1.6861,2.88,2.879,9.77
10.6,-66.3,"Continental",22.569,70.478,2.544,43.001,25.465,2.462,17.1419,34.3928,204.9364,54.3354,0.2489,23.7462,22.6434,0.8026,0.1998,31.973,21.0417,2.9847,52.5362,3.975,-3.8941,1.8186,1.8271,-1.6861,2.88,2.879,9.77
10.6,-66.6,"Continental",54.596,37.689,4.325,10.459,52.611,4.616,12.7528,29.269,148.7673,55.478,0.3171,23.6963,23.0196,-0.377,0.1998,31.973,21.0417,2.9847,52.5362,3.975,-2.6433,1.8186,1.8271,-1.6861,2.88,2.879,40.64
10.6,-66.7,"Continental",65.441,26.76,3.454,2.701,41.686,2.646,12.9564,26.6186,128.2005,55.7112,0.3372,25.0515,22.2036,4.5207,0.1998,31.973,21.0417,2.9847,52.5362,3.975,-2.6433,1.8186,1.8271,-1.6861,2.88,2.879,56.07
10.6,-66.8,"Continental",76.31,15.832,9.577,12.004,30.765,5.933,11.3145,22.6556,99.3758,54.3354,0.3629,24.1647,22.9231,-0.2946,0.2308,28.6884,20.0441,2.9808,48.1474,3.975,-2.6433,1.8186,1.8271,-1.6861,2.88,2.879,56.07
10.6,-66.9,"Continental",87.194,4.911,20.259,22.799,19.853,0.688,15.85,31.62,93.7341,54.3354,0.3458,24.0548,23.2973,-0.9733,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8186,1.8271,-1.6861,2.88,2.879,56.5421
10.6,-67,"Continental",94.46,6.041,31.113,33.681,8.986,2.44,9.3566,31.62,75.6664,54.3354,0.347,24.0079,23.4904,-1.4817,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8206,1.8253,-1.684,2.88,2.879,30.87
10.6,-67.1,"Continental",83.683,2.642,42.006,44.586,2.508,2.64,9.4484,24.8797,54.377,53.2915,0.3376,24.258,23.4411,-1.3212,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,33.7136
10.6,-67.2,"Continental",72.951,13.376,52.914,55.501,13.067,5.305,7.943,15.85,44.8434,52.9596,0.4452,24.3628,23.6582,-1.6737,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,36.01
10.6,-67.3,"Continental",62.29,24.285,63.829,66.42,23.962,8.318,7.943,15.85,35.1804,52.9596,0.4863,24.4823,23.7384,-1.7459,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,35.6603
10.6,-67.4,"Continental",51.741,35.208,74.749,77.342,34.878,7.866,7.943,15.85,31.0963,52.9596,0.5016,24.6276,23.8478,-1.8293,0.3869,12.1391,15.0177,2.9609,26.0349,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,32.5559
10.6,-67.5,"Continental",41.393,41.823,68.109,88.266,45.801,8.076,7.943,15.85,31.5938,52.9596,0.5129,24.5679,23.8147,-1.8058,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,17.4211
10.6,-67.6,"Continental",31.441,32.191,57.423,97.912,56.727,10.245,7.943,15.85,30.3288,52.9596,0.4632,24.5701,23.7887,-1.7867,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,7.4964
10.6,-67.7,"Continental",22.422,23.715,46.849,88.974,47.77,12.803,7.943,15.85,33.6898,52.9596,0.4594,24.5701,23.9584,-1.8957,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,9.2502
10.6,-67.8,"Continental",16,18.099,36.487,80.528,37.359,13.074,7.943,15.85,41.5592,52.9596,0.4809,24.6307,23.9333,-1.8822,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,34.7032
10.6,-68.1,"Insular",12.161,11.911,13.221,60.174,13.075,13.865,15.85,31.62,242.0021,52.9596,0.3119,25.2476,24.2051,-1.986,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,4.3757
10.6,-68.2,"Insular",18.626,14.221,4.85,56.065,8.71,11.298,15.85,31.62,496.114,51.5838,0.1346,25.8452,24.7319,-1.9664,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,0
10.6,-68.2,"Continental",18.626,14.221,4.85,56.065,8.71,11.298,15.85,31.62,496.114,51.5838,0.1346,25.8452,24.7319,-1.9664,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,0
10.6,-68.3,"Continental",21.489,22.396,6.67,53.892,13.996,9.264,15.85,31.62,355.1897,52.9596,-0.2438,26.1967,25.234,-1.5055,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,18.1131
10.7,-62.3,"Continental",18.783,14.437,87.756,120,120,9.214,41.5723,66.6157,418.6699,47.4575,0.0651,25.1231,21.71,9.3917,-0.477,34.677,7.6466,2.9983,46.806,3.971,-1.7063,1.8214,1.8245,-0.7733,2.88,2.879,7.7118
