"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.16,-71.81,0.1,225.675675675676
11.17,-71.81,0.1,225.405405405405
11.15,-71.81,0.1,225.135135135135
11.13,-71.84,0.1,224.864864864865
11.13,-71.83,0.1,224.594594594595
11.12,-71.83,0.1,224.324324324324
11.12,-71.82,0.1,224.054054054054
11.11,-71.82,0.1,223.783783783784
11.11,-71.83,0.1,223.513513513514
11.1,-71.84,0.1,223.243243243243
11.09,-71.84,0.1,222.972972972973
11.09,-71.83,0.1,222.702702702703
11.1,-71.82,0.1,222.432432432432
11.13,-71.81,0.1,222.162162162162
11.11,-71.86,0.1,221.891891891892
11.09,-71.82,0.1,221.621621621622
11.1,-71.81,0.1,221.351351351351
11.11,-71.81,0.1,221.081081081081
11.12,-71.79,0.1,220.810810810811
11.13,-71.79,0.1,220.540540540541
11.09,-71.81,0.1,220.27027027027
11.11,-71.79,0.1,220
11.07,-71.83,0.1,219.72972972973
11.06,-71.83,0.1,219.459459459459
11.05,-71.82,0.1,219.189189189189
11.07,-71.81,0.1,218.918918918919
11.11,-71.78,0.1,218.648648648649
11.1,-71.78,0.1,218.378378378378
11.1,-71.77,0.1,218.108108108108
11.09,-71.78,0.1,217.837837837838
11.06,-71.81,0.1,217.567567567568
11.09,-71.77,0.1,217.297297297297
11.1,-71.75,0.1,217.027027027027
11.1,-71.74,0.1,216.756756756757
11.07,-71.78,0.1,216.486486486486
11.07,-71.79,0.1,216.216216216216
11.06,-71.79,0.1,215.945945945946
11.06,-71.78,0.1,215.675675675676
11.07,-71.77,0.1,215.405405405405
11.09,-71.74,0.1,215.135135135135
11.09,-71.75,0.1,214.864864864865
11.06,-71.77,0.1,214.594594594595
11.07,-71.75,0.1,214.324324324324
11.07,-71.74,0.1,214.054054054054
11.07,-71.73,0.1,213.783783783784
11.06,-71.73,0.1,213.513513513514
11.06,-71.74,0.1,213.243243243243
11.05,-71.75,0.1,212.972972972973
11.05,-71.77,0.1,212.702702702703
11.05,-71.78,0.1,212.432432432432
11.05,-71.79,0.1,212.162162162162
11.03,-71.79,0.1,211.891891891892
11.03,-71.81,0.1,211.621621621622
11.07,-71.7,0.1,211.351351351351
11.06,-71.72,0.1,211.081081081081
11.05,-71.74,0.1,210.810810810811
11.03,-71.77,0.1,210.540540540541
